Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
06/11/2020,8:30:00  A.M.,(Desayuno) Licuado de platano,250,50,0,5.2,0
06/11/2020,3 P.M.,(Comida) caldo de pollo y Verduras,150,0,2.8,21.8,125
06/11/2020,5 P.M,Manzana,95,25.1,0.3,0.5,0
06/11/2020,8 P.M.,(Cena) Yogurt con fruta,170,25,6,6,0
07/11/2020,8:30:00  A.M.,(Desayuno) huevo con jamon,138,0.4,13.8,10,135
07/11/2020,3 P.M.,(Comida) Filete de res y Verduras,150,0,2.8,21.8,0
07/11/2020,5 P.M,Platano,95,25.1,0.3,0.5,0
07/11/2020,8 P.M.,(Cena) Yogurt con fruta,170,25,6,6,0
08/11/2020,8:30:00  A.M.,(Desayuno) huevo con jamon,138,0.4,13.8,10,135
08/11/2020,3 P.M.,(Comida) Filete de pollo y Verduras,150,0,2.8,21.8,15
08/11/2020,5 P.M,Papaya,93,24,0.6,1,0
08/11/2020,8 P.M.,(Cena) Yogurt con fruta,170,25,6,6,0
09/11/2020,8:30:00  A.M.,(Desayuno) huevo con jamon,138,0.4,13.8,10,135
09/11/2020,3 P.M.,(Comida) Filete de pollo y Verduras,150,0,2.8,21.8,125
09/11/2020,5 P.M,Galletas oreo,270,41,11,2,0
09/11/2020,8 P.M.,(Cena) Cereal,189,42,0.4,3.5,0
10/11/2020,8:30:00  A.M.,(Desayuno) Licuado de platano,250,50,0,5.2,0
10/11/2020,3 P.M.,(Comida) caldo de pollo y Verduras,150,0,2.8,21.8,125
10/11/2020,5 P.M,Manzana,95,25.1,0.3,0.5,0
10/11/2020,8 P.M.,(Cena) Yogurt con fruta,170,25,6,6,0
